Water-Cement Ratio,Compressive Strength (N/mm²)
0.2651111111,66.66666667
0.2651111111,61.41414141
0.2651111111,60.87542088
0.2651111111,61.27946128
0.2651111111,61.01010101
0.2651111111,61.14478114
0.266,60.87542088
0.266,61.01010101
0.266,60.74074074
0.266,61.27946128
0.266,61.41414141
0.266,61.14478114
0.2668888889,61.14478114
0.2668888889,60.74074074
0.2668888889,61.27946128
0.2668888889,61.01010101
0.2668888889,60.60606061
0.2668888889,60.87542088
0.2677777778,60.74074074
0.2677777778,60.47138047
0.2677777778,60.60606061
0.2677777778,60.87542088
0.2677777778,61.01010101
0.2677777778,61.14478114
0.2686666667,61.01010101
0.2686666667,60.74074074
0.2686666667,60.33670034
0.2686666667,60.60606061
0.2686666667,60.87542088
0.2686666667,60.47138047
0.2695555556,60.33670034
0.2695555556,60.06734007
0.2695555556,60.47138047
0.2695555556,60.2020202
0.2695555556,60.60606061
0.2695555556,60.74074074
0.2704444444,60.2020202
0.2704444444,59.93265993
0.2704444444,60.06734007
0.2704444444,60.33670034
0.2704444444,60.47138047
0.2704444444,60.60606061
0.2713333333,60.06734007
0.2713333333,60.33670034
0.2713333333,60.47138047
0.2713333333,60.2020202
0.2713333333,59.7979798
0.2713333333,59.93265993
0.2722222222,59.66329966
0.2722222222,59.93265993
0.2722222222,60.33670034
0.2722222222,60.06734007
0.2722222222,60.2020202
0.2722222222,59.52861953
0.2722222222,59.7979798
0.2731111111,59.66329966
0.2731111111,59.52861953
0.2731111111,59.39393939
0.2731111111,59.7979798
0.2731111111,60.2020202
0.2731111111,59.93265993
0.2731111111,60.06734007
0.274,59.39393939
0.274,59.52861953
0.274,59.93265993
0.274,59.7979798
0.274,59.66329966
0.274,59.25925926
0.2748888889,59.66329966
0.2748888889,59.52861953
0.2748888889,59.12457912
0.2748888889,59.25925926
0.2748888889,59.7979798
0.2748888889,59.39393939
0.2757777778,58.98989899
0.2757777778,59.25925926
0.2757777778,59.12457912
0.2757777778,59.39393939
0.2757777778,59.66329966
0.2757777778,59.52861953
0.2766666667,59.39393939
0.2766666667,58.85521886
0.2766666667,59.12457912
0.2766666667,58.98989899
0.2766666667,59.25925926
0.2766666667,59.52861953
0.2775555556,58.72053872
0.2775555556,58.85521886
0.2775555556,59.39393939
0.2775555556,59.25925926
0.2775555556,58.58585859
0.2775555556,59.12457912
0.2775555556,58.98989899
0.2784444444,58.98989899
0.2784444444,58.72053872
0.2784444444,59.12457912
0.2784444444,58.85521886
0.2784444444,58.58585859
0.2784444444,58.45117845
0.2793333333,58.45117845
0.2793333333,58.58585859
0.2793333333,58.31649832
0.2793333333,58.72053872
0.2793333333,58.85521886
0.2793333333,58.98989899
0.2802222222,58.72053872
0.2802222222,58.85521886
0.2802222222,58.58585859
0.2802222222,58.18181818
0.2802222222,58.45117845
0.2802222222,58.31649832
0.2811111111,58.04713805
0.2811111111,58.18181818
0.2811111111,58.31649832
0.2811111111,58.72053872
0.2811111111,58.45117845
0.2811111111,58.58585859
0.282,58.45117845
0.282,58.31649832
0.282,57.77777778
0.282,58.58585859
0.282,58.18181818
0.282,57.91245791
0.282,58.04713805
0.2828888889,57.64309764
0.2828888889,57.91245791
0.2828888889,57.77777778
0.2828888889,58.04713805
0.2828888889,58.18181818
0.2828888889,58.31649832
0.2837777778,58.18181818
0.2837777778,57.91245791
0.2837777778,57.50841751
0.2837777778,57.77777778
0.2837777778,57.64309764
0.2837777778,58.04713805
0.2846666667,58.04713805
0.2846666667,57.50841751
0.2846666667,57.64309764
0.2846666667,57.37373737
0.2846666667,57.77777778
0.2846666667,57.91245791
0.2855555556,57.37373737
0.2855555556,57.64309764
0.2855555556,57.23905724
0.2855555556,57.91245791
0.2855555556,57.50841751
0.2855555556,57.77777778
0.2864444444,56.96969697
0.2864444444,57.23905724
0.2864444444,57.37373737
0.2864444444,57.1043771
0.2864444444,57.77777778
0.2864444444,57.50841751
0.2864444444,57.64309764
0.2873333333,56.83501684
0.2873333333,57.1043771
0.2873333333,57.50841751
0.2873333333,56.96969697
0.2873333333,57.64309764
0.2873333333,57.37373737
